mergesort2_100_unsorted_times,mergesort2_100_reversed_times,mergesort2_100_nearly_sorted_times,mergesort2_100_sorted_times,mergesort1_1000_unsorted_times,mergesort1_1000_reversed_times,mergesort1_1000_nearly_sorted_times,mergesort1_1000_sorted_times,mergesort1_10_unsorted_times,mergesort1_10_reversed_times,mergesort1_10_nearly_sorted_times,mergesort1_10_sorted_times,mergesort1_100_unsorted_times,mergesort1_100_reversed_times,mergesort1_100_nearly_sorted_times,mergesort1_100_sorted_times,mergesort2_10000_unsorted_times,mergesort2_10000_reversed_times,mergesort2_10000_nearly_sorted_times,mergesort2_10000_sorted_times,mergesort1_100000_unsorted_times,mergesort1_100000_reversed_times,mergesort1_100000_nearly_sorted_times,mergesort1_100000_sorted_times,mergesort2_100000_unsorted_times,mergesort2_100000_reversed_times,mergesort2_100000_nearly_sorted_times,mergesort2_100000_sorted_times,mergesort1_10000_unsorted_times,mergesort1_10000_reversed_times,mergesort1_10000_nearly_sorted_times,mergesort1_10000_sorted_times,mergesort2_1000000_unsorted_times,mergesort2_1000000_reversed_times,mergesort2_1000000_nearly_sorted_times,mergesort2_1000000_sorted_times,mergesort1_1000000_unsorted_times,mergesort1_1000000_reversed_times,mergesort1_1000000_nearly_sorted_times,mergesort1_1000000_sorted_times,mergesort2_10_unsorted_times,mergesort2_10_reversed_times,mergesort2_10_nearly_sorted_times,mergesort2_10_sorted_times,mergesort2_1000_unsorted_times,mergesort2_1000_reversed_times,mergesort2_1000_nearly_sorted_times,mergesort2_1000_sorted_times
14274,17644,14782,12854,594134,190167,202716,179762,17869,11287,11363,10693,116711,17824,23861,17674,1306268,1366289,1710974,1346441,19493149,22499634,30541149,19050043,13690730,13778869,21179423,17380412,1916152,1885594,2146974,1859494,143232316,134682145,201889648,143407896,196130885,193441219,241092367,197204778,2661,1631,1575,1417,200386,160979,202008,159058
12062,12088,11372,12259,661574,193547,193813,173709,10557,9496,10036,8013,107075,16687,17399,16767,1263907,1300483,1257963,1243443,18299804,18447727,19827398,18998961,12762725,13280957,13427876,13353991,1828171,1798151,1997243,1916250,140391206,141418650,141207199,140591793,194711031,195493596,212756566,196080495,1183,1182,1023,1068,195900,149102,118110,155673
12026,11701,11307,12059,665869,184816,197655,177580,9891,9243,9729,7832,164412,16437,17278,20919,1324604,1238258,1255125,1330309,18354803,17859560,19674783,18432924,12856984,12903575,13026798,12800629,1866309,1940208,2011395,1836495,140269398,140923346,140618177,141994165,195529051,192665767,209153373,195209834,1113,1012,1016,1005,194502,121983,116409,121383
11983,11695,11338,12399,701974,170573,195765,172394,9545,8966,9447,7554,92117,16518,17233,16626,1252825,1244855,1247074,1334928,18352552,18228826,19966686,18376218,12843713,13138068,12855101,12959625,1807763,1798896,1993792,1857737,140970610,141460388,140570791,141663823,194349871,195297305,210588947,193885780,1041,1023,1015,1059,197597,124287,116509,115831
11937,12105,11331,12074,738206,170588,195463,172421,9065,8758,9568,7406,82797,16426,17300,16448,1297083,1279648,1268927,1333586,18190506,18160290,19949645,18096149,12669611,13138833,12665455,12948444,1860237,1850500,2062576,1930644,145802418,141722761,141790651,141244591,193921489,193901121,210267477,197408832,969,948,977,984,194281,121339,117418,115833
11985,11523,11330,11722,761250,173669,197253,172930,8964,8872,9753,7328,82378,16500,17331,16521,1294486,1285410,1345015,1349737,18332550,18060912,19776984,18203632,12761014,13105078,12973459,12886784,1974338,1881418,2044337,1870522,140975672,140721570,142250824,141149056,194218859,194041972,208552758,194139265,956,978,977,1017,198547,122522,116461,117152
11932,11702,11269,11985,706982,172271,202767,174269,8842,9118,9389,7445,84403,16436,17349,16477,1254706,1310437,1335666,1278676,18553547,18200247,19835187,18023439,12978231,13198877,12842047,13108555,1938950,1866634,2019787,1864917,141798892,140824180,140933396,140247562,193508988,195233899,209291692,194055809,965,951,978,980,197427,122106,116888,116116
11968,11990,11294,11986,645974,172160,205063,172988,8887,8894,9314,7222,82061,16469,17210,16516,1236614,1273077,1260859,1310518,18252664,18195425,19812642,18361482,12697508,12813315,13001319,13513347,1798314,1881199,1946543,1791473,141900053,142243938,142143419,141224764,193222461,194214481,209420006,193761881,979,962,977,974,197496,121944,116265,116161
11982,12103,11245,11855,566278,178262,210132,172445,9138,8896,9480,7353,82231,16386,17200,16514,1231719,1284193,1241093,1264905,18335602,18277085,20010163,18293704,12870925,12926170,12878069,13036520,1882545,1836059,2018079,1896551,140854235,140439215,140049532,141699990,194376524,194005715,209236297,195068306,972,963,975,974,198952,121898,118250,115951
11953,11878,11286,12047,546167,185676,209547,173344,9015,8993,9326,7306,90018,16432,17357,16482,1291632,1331832,1297653,1307669,18716591,18395543,20005285,18053907,12845920,12819174,12925804,12815335,1920076,1842396,1953643,1848764,140651765,140851844,140974555,140531881,193539199,194146590,210745303,192712456,958,962,980,973,194105,120729,117090,115727
12047,11928,11358,12009,507828,189016,206073,173902,8625,9219,9311,7260,89926,16475,17183,16465,1349046,1260979,1284237,1244660,18213461,18113557,20106541,18116234,12958027,13055059,12869134,12947368,1795399,1786618,1936478,1882579,140967561,140923786,140546355,142546300,193663729,195110956,208496055,193048678,954,940,974,982,194244,115315,116662,122068
12016,11577,11303,11945,477249,185733,206829,175563,8858,8795,14905,21703,90496,18037,17337,16452,1337654,1337955,1334572,1273935,18083356,18318759,19950110,18121068,12719237,13077844,12635869,12662251,1916731,1801483,1996625,1794170,141079707,141057781,140971758,140743931,194631538,193486817,207913444,194251621,975,955,989,986,194270,115473,116355,122710
11995,12052,11342,12240,461527,184043,197106,175639,8963,8861,9407,14327,88585,16351,17348,16491,1269494,1268388,1331634,1241582,18212532,18297392,19711397,18298313,12778675,12864993,12810388,13407507,1789050,1820107,2005809,1799640,141061926,140399000,140659738,141343800,193010495,195167380,208430956,193025646,956,955,981,968,194073,115401,116668,122840
11978,11964,11303,11951,473835,188382,199836,175113,9087,9067,9534,11789,95472,16438,17128,16548,1324137,1320698,1269440,1316572,18369213,18399323,19886298,18438935,13118587,12788820,12935266,12910566,1786752,1773922,2010506,1856857,141957716,141599735,141035185,141336871,193393121,193909834,208983027,193573384,990,946,1131,950,202885,115460,116350,123217
11977,11762,11288,12369,410922,176504,201504,174644,9141,8952,9606,7811,82122,16444,17357,16470,1278074,1278428,1237685,1309682,18281302,18241586,20011972,18229613,12746110,13180950,12651268,12720105,1948628,1709916,1937959,1846532,141299570,140644615,140557880,140253944,193927422,193976719,207666775,194286477,955,960,1058,980,198498,115860,116386,122507
12002,12390,11319,12000,416546,177080,200184,175972,8546,8551,9428,7033,81641,16418,19974,16545,1332909,1255813,1271158,1320199,18147372,18273596,19874238,18256007,12667612,12533671,13028039,12821302,1714297,1731845,1920840,1913698,141252180,141347075,141247042,141351751,193608302,193511357,207230703,193672063,972,961,965,962,195949,115863,116383,122855
11941,11536,11253,12235,286248,176500,196737,175042,8902,8889,9392,7041,81784,16454,18057,16488,1263842,1240526,1301048,1281608,18395357,18196683,19694600,18296159,12912871,12799937,13150375,12770394,1760641,1816014,1910602,1751995,141291499,142579439,141242581,140785243,193007718,193473706,208064137,192757213,975,952,959,965,196325,115919,123137,122534
11620,12186,11281,12139,274971,175577,184075,180050,9102,14799,9847,7086,81935,17444,19070,28804,1315047,1310993,1220420,1295846,18444425,18258616,19881576,18407034,12811557,12920729,12829532,13040345,1761475,1763353,1832269,1727963,141388668,140893012,140347086,140908315,194999187,193645469,207495617,195411545,1143,949,957,977,194472,115609,127167,123104
11276,11672,11270,12293,259159,175708,183656,187459,9033,9049,9443,7131,81106,17463,17614,19567,1294236,1300178,1189382,1223257,18348744,18158819,19762894,18226786,13038929,12813115,12969727,13308144,1716628,1787369,1952589,1792241,140908105,141958750,141935185,141026316,193689137,193907429,208260024,193626970,1081,963,954,958,203947,116911,126243,127058
11175,14831,11271,12022,260076,189008,184937,184474,8878,8813,9825,7115,80976,17425,17743,20103,1270376,1342418,1271015,1173974,18268265,18273296,19966994,18225922,12927007,13086490,13143696,12948955,1843698,1839172,1828398,1885620,140071582,140965538,140430479,142044147,192999019,194207061,207790685,193685668,966,938,957,956,195941,115052,127037,122019
11205,11778,11268,11961,252518,195715,187120,184105,8815,8958,9382,7087,81040,17378,18612,20460,1340712,1279639,1218901,1205052,18113770,18234034,19832481,18228627,12735611,12770374,12909140,12886988,1800600,1771456,1920359,1809053,140241921,140548011,141336760,141086131,194172695,194804191,208262845,193968555,962,956,971,973,195785,115194,126729,121759
