unsorted_times,reversed_times,nearly_sorted_times,sorted_times
19256254,20072840,29003636,19604648
18446742,18868625,22372413,18812587
18496442,18473193,22373917,18300147
18370754,18362818,22492964,18380175
18293767,18249698,22472950,18284754
18141482,18394918,22644439,18557865
18385491,18464786,22612099,18141054
18364502,18509781,22858494,18318455
18417237,18377369,22677435,18205814
18329592,18528247,22604287,18435070
18474520,18289652,22786741,18502005
18369203,18419883,22262561,18233805
18219239,18285719,22621508,18491602
18411676,18373354,22350916,18129160
18439013,18331556,22496683,18196130
18350233,18397664,22429899,18234678
18312420,18174848,22615696,18140554
18244046,18582253,22814226,18412115
18293141,18406117,22696871,18231713
18101289,18792840,22404802,18290778
18378218,18507712,22533445,17876512
18029860,18582250,22331992,18116652
18390792,18396166,22642907,18381305
18557584,18603204,22379704,18408741
18515962,18689917,22726542,18214408
18323408,18503013,22653678,18348826
18702124,18327207,22705288,18278368
18372594,18587060,22855117,18140854
18243320,18708409,22399739,18319921
18230475,18464905,22603373,18309102
18323922,18597145,22656897,18294683
18593655,18378771,22372231,18108776
18301769,18374968,22358088,18309884
18237179,18264171,22628493,18367921
18464636,18583312,22435793,18494813
18399230,18341511,22553699,18104752
18330034,18591330,22673468,18208784
18237171,18506076,22688467,18060566
18562531,18491974,22815317,18423336
18424355,18412696,22562015,17954211
18494229,18514780,22406047,18166998
18413849,18190909,22936276,18086169
18064923,18728212,22812966,18079512
18338774,18641774,22719088,18406961
18268433,18478873,22600966,18200817
18426201,18394226,22608204,18137378
18480106,19211476,22518518,18173226
18392682,18376970,22414863,18045250
18352467,18678847,22279057,18203263
18805086,18646498,22492190,18283167
18589298,18477980,22578992,18143118
18268524,18344484,22334594,18203301
18038620,18460250,22700963,18402294
18455409,18718611,22307089,18063065
18733107,18352541,22677754,18387531
18436832,18549324,22844737,18190917
18398007,18128838,22642870,18226684
18422359,18548163,22506133,18215496
18358437,18471644,22506682,18183781
18690693,18482581,22732728,18060383
18408431,18227839,22876049,18423986
18435815,18124036,22463963,18177725
18275483,18379041,22511567,18351087
18315847,18314463,22636403,18319198
18285213,18245251,22457631,17982601
18310271,18582835,22482710,18381816
18133843,18856135,22506685,18344411
18220093,18332050,22548239,18196147
18178807,18167907,22459877,18213753
18295418,18407183,22542878,18235899
18290398,18409098,22638732,18163420
18330520,18758812,22617282,18262313
18062319,18667897,22388479,18356515
18534764,18697181,22571150,18459423
18436117,18528769,22532898,18172485
18362435,18641461,22404322,18234541
18451841,18438293,22679110,18202498
18434836,18423978,22703583,18149248
18530926,18129595,22523583,18427317
18356526,18889000,22662480,18528719
18590203,18563600,22568677,18345261
18235812,18382967,22305194,18622116
18077160,18477424,22683432,18242172
18484927,18241181,22562154,18270868
18214830,18227891,22210176,18241113
18367446,18315993,22431002,17992953
17996955,18513596,22502844,18131260
18449173,18723131,22377976,18379966
18583031,18306307,22707628,18155180
18071826,18850659,22518815,18301295
18660027,18251690,22565379,18472208
18881593,18650063,22359838,18613856
19424514,18376431,22433987,18177636
18619065,18126870,22767370,18068955
18542182,18713002,22687175,18305431
18107755,18471649,22461646,18280247
18350794,18878339,22234595,18077692
18801425,18401125,22652178,18264276
18607756,18310275,22568983,18266856
19378533,18521161,22627242,18600023
