unsorted_times,reversed_times,nearly_sorted_times,sorted_times
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
400000,400000,400000,400000
