unsorted_times,reversed_times,nearly_sorted_times,sorted_times
331007,312711,732405,401518
335675,317626,731814,420851
339665,363918,727109,374887
335496,399297,721060,325899
338342,402356,723926,327822
331244,315781,731625,330271
328878,313900,743438,329438
331901,316498,721548,329835
326868,315985,717910,333056
326264,314046,709977,333779
327735,315551,714267,333072
325942,323051,720416,333979
325899,322318,727970,329537
328773,322292,725730,329087
327221,318597,730321,329920
328213,315328,750835,329048
329825,315439,741885,329899
334005,316795,722968,331361
333963,315565,717510,328656
336104,315520,727034,328547
332856,316940,757406,336478
331706,314725,827381,333201
332192,314717,794888,334128
329957,317233,717255,332260
329254,315312,718537,325275
330246,314729,723686,324993
328490,314455,719738,331747
330067,315985,766450,325231
332070,315240,752885,325321
332143,314448,717918,326917
331492,312806,717867,326276
332652,309905,716351,325671
327305,309783,718303,333606
326652,315473,708512,325978
327341,314239,678974,325281
331048,312885,680208,327130
330105,315143,679979,331183
337527,315333,680525,333457
331413,315505,682457,335830
332515,317085,686841,327402
348215,316563,754876,326073
332054,314291,700706,327841
327498,317023,683767,372516
329083,315411,681942,388497
329301,315190,684841,353837
328663,316622,688957,325537
329918,315935,681504,325300
329842,315351,681793,326535
329053,315295,685562,325169
329060,351437,681449,325146
330404,385513,679893,326339
330178,392273,682934,333643
331716,371544,690997,326150
329591,315426,682608,330466
329240,316815,687438,407018
330541,312841,690851,415879
327947,312371,680109,334151
329705,313957,682093,325810
328949,316094,685794,325872
327360,315126,682522,316572
327841,315527,684703,311172
328486,349385,681986,316374
335379,388459,680612,313041
338108,361038,680450,311866
335782,315359,682523,310913
320424,315374,687556,311910
312191,316954,685610,348641
312649,318190,700337,359872
316596,317741,686233,362349
310801,315680,713375,360102
310615,316996,718424,362397
315518,315465,777153,316526
308177,314935,779480,309817
308108,317115,746236,309456
311068,316777,683820,313543
311621,314809,684937,310445
312813,317196,679596,316638
313872,315408,681640,310673
309740,313918,684179,308906
312947,317513,680680,310185
313301,316659,678416,311362
310880,315634,686493,316452
309019,316920,683925,310020
308694,315479,685478,311355
310789,313694,684907,310555
308693,316953,677543,309388
308608,315607,733227,308771
311030,315621,731594,310726
308767,316966,709585,308808
311073,354391,688471,308676
311468,360700,682064,310205
308824,331387,678425,308096
309911,311677,673420,308114
316905,311804,678783,309574
313831,312057,689158,308920
313913,313318,689520,308500
314447,310165,687874,312906
318235,310873,687970,316222
311639,316954,682593,316475
311713,315191,684835,319989
